2021-02-05 18:08:27.238570|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.3 (2020-12-16 14:17:05)
2021-02-05 18:08:27.238694|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-65-generic #73-Ubuntu SMP Mon Jan 18 17:25:17 UTC 2021 x86_64 Binary: 64bit
2021-02-05 18:08:27.238730|INFO    |ServerLibPriv |   |Using hardware aes
2021-02-05 18:08:27.241559|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-02-05 18:08:27.241625|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-02-05 18:08:27.243492|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-02-05 18:08:27.473312|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-02-05 18:08:27.505305|INFO    |Accounting    |   |Licensing Information
2021-02-05 18:08:27.505378|INFO    |Accounting    |   |licensed to       : Anonymous
2021-02-05 18:08:27.505403|INFO    |Accounting    |   |type              : No License
2021-02-05 18:08:27.505430|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-02-05 18:08:27.505453|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-02-05 18:08:27.505473|INFO    |Accounting    |   |max virtualservers: 1
2021-02-05 18:08:27.505493|INFO    |Accounting    |   |max slots         : 32
2021-02-05 18:08:30.409589|INFO    |              |   |Puzzle precompute time: 2838
2021-02-05 18:08:30.412648|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-02-05 18:08:30.449996|INFO    |Query         |   |Using a query thread pool size of 2
2021-02-05 18:08:30.637520|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-02-05 18:08:30.638307|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
