2021-03-14 20:50:52.824587|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.3 (2020-12-16 14:17:05)
2021-03-14 20:50:52.824723|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-66-generic #74-Ubuntu SMP Wed Jan 27 22:54:38 UTC 2021 x86_64 Binary: 64bit
2021-03-14 20:50:52.824761|INFO    |ServerLibPriv |   |Using hardware aes
2021-03-14 20:50:52.827629|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-03-14 20:50:52.827689|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-03-14 20:50:52.829813|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-03-14 20:50:53.036595|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-03-14 20:50:53.068577|INFO    |Accounting    |   |Licensing Information
2021-03-14 20:50:53.068645|INFO    |Accounting    |   |licensed to       : Anonymous
2021-03-14 20:50:53.068671|INFO    |Accounting    |   |type              : No License
2021-03-14 20:50:53.068699|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-03-14 20:50:53.068723|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-03-14 20:50:53.068744|INFO    |Accounting    |   |max virtualservers: 1
2021-03-14 20:50:53.068764|INFO    |Accounting    |   |max slots         : 32
2021-03-14 20:50:55.884155|INFO    |              |   |Puzzle precompute time: 2752
2021-03-14 20:50:55.887422|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-03-14 20:50:55.927908|INFO    |Query         |   |Using a query thread pool size of 2
2021-03-14 20:50:56.040051|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-03-14 20:50:56.040531|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-03-14 20:50:56.040755|WARNING |ServerMain    |   |Warning - name 'query_ip_whitelist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_allowlist' instead.
2021-03-14 20:50:56.040933|WARNING |ServerMain    |   |Warning - name 'query_ip_blacklist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_denylist' instead.
2021-03-14 20:51:00.939920|INFO    |ServerLibPriv |   |failed to download revocation list - count: 1
2021-03-15 11:44:56.088422|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-16 11:44:56.394963|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-17 11:44:56.501044|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-18 11:44:56.778491|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-19 11:44:56.948564|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-20 11:44:57.186705|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-21 11:44:57.396757|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-22 11:44:57.628740|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-23 11:44:57.880326|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-24 11:44:58.260647|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-25 11:44:58.307349|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-26 11:44:58.511377|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-27 11:44:58.745200|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-28 11:44:58.974878|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-29 11:44:59.205928|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
