2020-09-22 21:30:17.246758|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-09-22 21:30:17.246907|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-31-generic #35-Ubuntu SMP Thu May 7 20:20:34 UTC 2020 x86_64 Binary: 64bit
2020-09-22 21:30:17.246963|INFO    |ServerLibPriv |   |Using hardware aes
2020-09-22 21:30:17.250037|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-09-22 21:30:17.250097|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-09-22 21:30:17.252209|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-09-22 21:30:17.444833|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-09-22 21:30:17.476846|INFO    |Accounting    |   |Licensing Information
2020-09-22 21:30:17.476923|INFO    |Accounting    |   |licensed to       : Anonymous
2020-09-22 21:30:17.476952|INFO    |Accounting    |   |type              : No License
2020-09-22 21:30:17.476983|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-09-22 21:30:17.477011|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-09-22 21:30:17.477035|INFO    |Accounting    |   |max virtualservers: 1
2020-09-22 21:30:17.477058|INFO    |Accounting    |   |max slots         : 32
2020-09-22 21:30:20.631966|INFO    |              |   |Puzzle precompute time: 3550
2020-09-22 21:30:20.635196|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-09-22 21:30:20.782587|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-09-22 21:30:20.782930|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-09-22 22:33:42.965594|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2266383061": No such file or directory
2020-09-23 20:44:09.290358|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-24 20:44:09.408595|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-25 20:44:09.586700|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-26 20:44:09.811169|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-27 20:44:10.052338|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-28 07:11:10.630374|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: -3 (Try again) 11
