2022-06-17 18:56:34.967459|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2022-06-18 02:05:36.291247|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2022-06-19 10:38:47.521109|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2022-06-19 15:40:04.388919|INFO    |PktHandler    |1  |Dropping client 18 because of ping timeout 19 0 0
2022-06-19 15:49:27.118180|INFO    |PktHandler    |1  |Dropping client 20 because of ping timeout 19 0 0
2022-06-21 00:39:19.006169|INFO    |PktHandler    |1  |Dropping client 21 because of ping timeout 19 0 0
2022-06-26 16:27:42.003262|INFO    |PktHandler    |1  |Dropping client 55 because of ping timeout 19 0 0
2022-06-28 16:12:00.493620|INFO    |PktHandler    |1  |Dropping client 61 because of ping timeout 19 0 0
2022-06-29 09:59:22.621071|INFO    |PktHandler    |1  |Dropping client 67 because of ping timeout 19 0 0
2022-06-30 12:56:42.383963|INFO    |PktHandler    |1  |Dropping client 74 because of ping timeout 19 0 0
2022-06-30 15:20:28.011712|INFO    |PktHandler    |1  |Dropping client 76 because of ping timeout 19 0 0
2022-06-30 15:36:46.204909|INFO    |PktHandler    |1  |Dropping client 73 because of ping timeout 19 0 0
2022-07-01 01:29:25.862601|INFO    |PktHandler    |1  |Dropping client 79 because of ping timeout 19 0 0
2022-07-01 21:04:14.874712|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2022-07-01 21:04:14.875343|INFO    |PktHandler    |1  |Dropping client 71 because of resend timeout
2022-07-04 11:17:10.587291|INFO    |PktHandler    |1  |Dropping client 86 because of ping timeout 19 0 0
2022-07-04 12:33:23.191411|INFO    |PktHandler    |1  |Dropping client 95 because of ping timeout 19 0 0
2022-07-05 16:14:47.474686|INFO    |PktHandler    |1  |Dropping client 105 because of ping timeout 19 0 0
2022-07-06 01:40:06.724749|INFO    |PktHandler    |1  |Dropping client 108 because of ping timeout 19 0 0
2022-07-08 14:59:21.998095|INFO    |PktHandler    |1  |Dropping client 120 because of ping timeout 19 0 0
2022-07-10 18:58:11.978562|INFO    |PktHandler    |1  |Dropping client 129 because of ping timeout 19 0 0
2022-07-12 01:39:43.154141|INFO    |PktHandler    |1  |Dropping client 135 because of ping timeout 19 0 0
2022-07-14 09:02:39.789452|INFO    |PktHandler    |1  |Dropping client 139 because of ping timeout 19 0 0
