2021-03-29 20:10:40.249553|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.3 (2020-12-16 14:17:05)
2021-03-29 20:10:40.249701|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-70-generic #78-Ubuntu SMP Fri Mar 19 13:29:52 UTC 2021 x86_64 Binary: 64bit
2021-03-29 20:10:40.249741|INFO    |ServerLibPriv |   |Using hardware aes
2021-03-29 20:10:40.252745|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-03-29 20:10:40.252811|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-03-29 20:10:40.255132|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-03-29 20:10:40.451218|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-03-29 20:10:40.484109|INFO    |Accounting    |   |Licensing Information
2021-03-29 20:10:40.484183|INFO    |Accounting    |   |licensed to       : Anonymous
2021-03-29 20:10:40.484209|INFO    |Accounting    |   |type              : No License
2021-03-29 20:10:40.484237|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-03-29 20:10:40.484261|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-03-29 20:10:40.484282|INFO    |Accounting    |   |max virtualservers: 1
2021-03-29 20:10:40.484302|INFO    |Accounting    |   |max slots         : 32
2021-03-29 20:10:42.940192|INFO    |              |   |Puzzle precompute time: 2389
2021-03-29 20:10:42.943553|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-03-29 20:10:42.985430|INFO    |Query         |   |Using a query thread pool size of 2
2021-03-29 20:10:43.099835|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-03-29 20:10:43.101108|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-03-29 20:10:43.101317|WARNING |ServerMain    |   |Warning - name 'query_ip_whitelist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_allowlist' instead.
2021-03-29 20:10:43.101498|WARNING |ServerMain    |   |Warning - name 'query_ip_blacklist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_denylist' instead.
2021-03-30 11:44:58.561852|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-03-31 11:44:58.758847|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-01 00:01:40.436685|INFO    |VirtualSvrMgr |   |executing monthly interval
2021-04-01 00:01:40.438694|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2021-04-01 11:44:58.983460|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-02 11:44:59.196834|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-03 11:44:59.433818|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-04 11:44:59.667505|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-05 11:44:59.899423|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-06 11:45:00.134519|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-07 11:45:00.402408|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-08 11:45:00.579970|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-09 11:45:00.802795|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-10 11:45:01.021147|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-11 11:45:01.257149|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-12 11:45:01.555112|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-13 11:45:01.741384|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-14 11:45:02.128010|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-15 11:45:02.558903|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-16 11:45:02.573632|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-17 11:45:02.975925|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-18 11:45:03.108476|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-19 11:45:03.314419|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-20 11:45:03.549028|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-21 11:45:03.756354|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-22 11:45:03.988666|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-23 11:45:04.205767|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-24 11:45:04.459490|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-25 11:45:04.661153|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-26 11:45:04.889395|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-04-27 11:45:05.117635|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
