2020-09-22 20:44:05.831976|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-09-22 20:44:05.833641|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-31-generic #35-Ubuntu SMP Thu May 7 20:20:34 UTC 2020 x86_64 Binary: 64bit
2020-09-22 20:44:05.833961|INFO    |ServerLibPriv |   |Using hardware aes
2020-09-22 20:44:05.834557|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-09-22 20:44:05.834899|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-09-22 20:44:05.835369|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-09-22 20:44:05.849736|INFO    |SQL           |   |db_CreateTables() tables created
2020-09-22 20:44:05.891523|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-09-22 20:44:05.906059|INFO    |Accounting    |   |Licensing Information
2020-09-22 20:44:05.906502|INFO    |Accounting    |   |licensed to       : Anonymous
2020-09-22 20:44:05.906774|INFO    |Accounting    |   |type              : No License
2020-09-22 20:44:05.907039|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-09-22 20:44:05.907317|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-09-22 20:44:05.907587|INFO    |Accounting    |   |max virtualservers: 1
2020-09-22 20:44:05.907852|INFO    |Accounting    |   |max slots         : 32
2020-09-22 20:44:07.948847|INFO    |              |   |Puzzle precompute time: 2010
2020-09-22 20:44:07.952239|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-09-22 20:44:07.953657|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-09-22 20:44:07.954109|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-09-22 20:44:08.023439|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-09-22 20:44:08.023911|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-09-22 20:44:08.297933|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-22 20:53:29.404309|INFO    |ServerMain    |   |Received signal SIGINT, shutting down.
