2021-08-06 18:27:08.641277|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-08-06 18:27:08.641419|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-80-generic #90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021 x86_64 Binary: 64bit
2021-08-06 18:27:08.641462|INFO    |ServerLibPriv |   |Using hardware aes
2021-08-06 18:27:08.644308|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-08-06 18:27:08.644388|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-08-06 18:27:08.646567|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-08-06 18:27:08.804327|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-08-06 18:27:08.831434|INFO    |Accounting    |   |Licensing Information
2021-08-06 18:27:08.831499|INFO    |Accounting    |   |licensed to       : Anonymous
2021-08-06 18:27:08.831548|INFO    |Accounting    |   |type              : No License
2021-08-06 18:27:08.831592|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-08-06 18:27:08.831618|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-08-06 18:27:08.831640|INFO    |Accounting    |   |max virtualservers: 1
2021-08-06 18:27:08.831660|INFO    |Accounting    |   |max slots         : 32
2021-08-06 18:27:13.140432|INFO    |              |   |Puzzle precompute time: 3814
2021-08-06 18:27:13.143764|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-08-06 18:27:13.181367|INFO    |Query         |   |Using a query thread pool size of 2
2021-08-06 18:27:13.295854|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-08-06 18:27:13.296186|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-08-06 18:27:14.512277|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-07 18:27:14.654273|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-08 18:27:14.786107|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-09 18:27:14.913483|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-10 18:27:15.046150|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-11 18:27:15.164317|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-12 18:27:15.622453|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-13 18:27:15.732941|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-14 18:27:15.617392|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-15 18:27:15.737135|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-16 18:27:16.087588|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-17 18:27:15.963228|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-18 18:27:16.173466|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-19 18:27:16.214878|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-20 18:27:16.355070|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-21 18:27:16.477580|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-22 18:27:16.630083|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-23 18:27:16.751301|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-24 18:27:16.885956|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-25 18:27:17.025100|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-26 18:27:17.164160|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-27 18:27:17.382007|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-28 18:27:17.536195|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-29 18:27:17.979067|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-30 18:27:18.274223|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-08-31 18:27:18.426024|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-01 00:00:08.789602|INFO    |VirtualSvrMgr |   |executing monthly interval
2021-09-01 00:00:08.792740|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2021-09-01 18:27:18.434893|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-02 18:27:18.560683|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-03 18:27:19.021344|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-04 18:27:19.002095|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-05 18:27:19.447366|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-06 18:27:19.662342|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-07 18:27:19.625117|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-08 18:27:20.092582|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-09 18:27:19.992956|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-09-10 18:27:20.302960|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
