2021-10-06 06:21:27.069065|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-10-06 06:21:27.069177|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-88-generic #99-Ubuntu SMP Thu Sep 23 17:29:00 UTC 2021 x86_64 Binary: 64bit
2021-10-06 06:21:27.069238|INFO    |ServerLibPriv |   |Using hardware aes
2021-10-06 06:21:27.072508|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-10-06 06:21:27.072586|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-10-06 06:21:27.074491|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-10-06 06:21:27.225841|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-10-06 06:21:27.251263|INFO    |Accounting    |   |Licensing Information
2021-10-06 06:21:27.251334|INFO    |Accounting    |   |licensed to       : Anonymous
2021-10-06 06:21:27.251386|INFO    |Accounting    |   |type              : No License
2021-10-06 06:21:27.251432|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-10-06 06:21:27.251459|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-10-06 06:21:27.251480|INFO    |Accounting    |   |max virtualservers: 1
2021-10-06 06:21:27.251501|INFO    |Accounting    |   |max slots         : 32
2021-10-06 06:21:31.828802|INFO    |              |   |Puzzle precompute time: 4511
2021-10-06 06:21:31.833699|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-10-06 06:21:31.870075|INFO    |Query         |   |Using a query thread pool size of 2
2021-10-06 06:21:32.073061|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-10-06 06:21:32.076575|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-10-06 18:27:25.391256|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-07 18:27:25.642753|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-08 18:27:25.828655|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-09 18:27:26.057873|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-10 18:27:26.297644|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-11 18:27:26.527070|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-12 18:27:26.750329|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-13 18:27:26.977772|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-14 18:27:27.178657|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-15 18:27:27.351553|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-16 18:27:27.476028|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-17 18:27:27.635549|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-18 18:27:27.775223|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-19 18:27:27.939560|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-20 18:27:28.088266|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-21 18:27:28.349856|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-22 18:27:28.410363|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-23 18:27:28.558724|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-24 18:27:28.729827|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-25 18:27:28.899145|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-26 18:27:29.081041|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-27 18:27:29.237972|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-28 18:27:29.397248|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-29 18:27:29.586158|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-30 18:27:29.751462|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-10-31 18:27:29.913684|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-01 00:00:27.212001|INFO    |VirtualSvrMgr |   |executing monthly interval
2021-11-01 00:00:27.215245|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2021-11-01 18:27:30.110462|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-02 18:27:39.964464|INFO    |ServerLibPriv |   |failed to download revocation list - count: 1
2021-11-02 21:27:40.349317|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-03 21:27:40.511882|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-04 21:27:40.726689|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-05 21:27:40.926550|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-06 21:27:41.100032|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-07 21:27:41.305614|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-08 21:27:41.474140|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-09 21:27:41.635713|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-11-10 06:57:50.141188|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
