2021-02-01 17:28:33.515720|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.3 (2020-12-16 14:17:05)
2021-02-01 17:28:33.517125|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-65-generic #73-Ubuntu SMP Mon Jan 18 17:25:17 UTC 2021 x86_64 Binary: 64bit
2021-02-01 17:28:33.517413|INFO    |ServerLibPriv |   |Using hardware aes
2021-02-01 17:28:33.518072|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-02-01 17:28:33.518367|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-02-01 17:28:33.518794|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-02-01 17:28:33.606720|INFO    |SQL           |   |database updated successfully to revision: 34
2021-02-01 17:28:33.624314|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-02-01 17:28:33.639727|INFO    |Accounting    |   |Licensing Information
2021-02-01 17:28:33.640200|INFO    |Accounting    |   |licensed to       : Anonymous
2021-02-01 17:28:33.640493|INFO    |Accounting    |   |type              : No License
2021-02-01 17:28:33.640768|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-02-01 17:28:33.641075|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-02-01 17:28:33.641348|INFO    |Accounting    |   |max virtualservers: 1
2021-02-01 17:28:33.641621|INFO    |Accounting    |   |max slots         : 32
2021-02-01 17:28:35.510380|INFO    |              |   |Puzzle precompute time: 1837
2021-02-01 17:28:35.513532|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-02-01 17:28:35.553127|INFO    |Query         |   |Using a query thread pool size of 2
2021-02-01 17:28:35.704043|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-02-01 17:28:35.704438|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2021-02-01 17:28:35.704757|WARNING |ServerMain    |   |Warning - name 'query_ip_whitelist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_allowlist' instead.
2021-02-01 17:28:35.705059|WARNING |ServerMain    |   |Warning - name 'query_ip_blacklist' from file /var/run/ts3server/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_denylist' instead.
2021-02-01 17:28:55.006543|INFO    |ServerMain    |   |Received signal SIGINT, shutting down.
