2020-12-24 17:38:59.162466|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2020-12-24 21:06:05.237662|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2020-12-24 21:11:46.764670|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2020-12-24 21:37:32.988289|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2020-12-25 16:06:09.277880|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2020-12-25 16:35:44.874288|INFO    |PktHandler    |1  |Dropping client 21 because of ping timeout 19 0 0
2020-12-25 16:36:03.406724|INFO    |PktHandler    |1  |Cleaning up connection because of 13 resends of COMMAND packet
2020-12-25 16:36:03.406819|INFO    |PktHandler    |1  |Dropping client 20 because of resend timeout
2020-12-25 22:34:54.702932|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
2020-12-26 02:59:15.513264|INFO    |PktHandler    |1  |Dropping client 29 because of ping timeout 19 0 0
2020-12-26 15:57:48.672069|INFO    |PktHandler    |1  |Cleaning up connection because of 13 resends of COMMAND packet
2020-12-26 15:57:48.672238|INFO    |PktHandler    |1  |Dropping client 32 because of resend timeout
2020-12-26 15:58:02.200343|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2020-12-26 15:58:02.200609|INFO    |PktHandler    |1  |Dropping client 33 because of resend timeout
2020-12-26 16:22:00.429327|INFO    |PktHandler    |1  |Dropping client 35 because of ping timeout 19 0 0
2020-12-26 22:03:06.564956|INFO    |PktHandler    |1  |Dropping client 36 because of ping timeout 19 0 0
2020-12-27 01:11:50.336248|INFO    |PktHandler    |1  |Dropping client 42 because of ping timeout 19 0 0
2020-12-27 22:20:15.924889|INFO    |PktHandler    |1  |Dropping client 41 because of ping timeout 19 0 0
2020-12-28 09:15:22.091988|INFO    |PktHandler    |1  |Dropping client 52 because of ping timeout 19 0 0
2020-12-28 15:47:37.514073|INFO    |PktHandler    |1  |Dropping client 53 because of ping timeout 19 0 0
2020-12-28 15:47:37.515058|INFO    |PktHandler    |1  |Dropping client 51 because of ping timeout 19 0 0
2020-12-28 15:47:37.516038|INFO    |PktHandler    |1  |Dropping client 50 because of ping timeout 19 0 0
2020-12-28 16:17:32.208442|INFO    |PktHandler    |1  |Dropping client 58 because of ping timeout 19 0 0
2020-12-28 16:17:32.209161|INFO    |PktHandler    |1  |Dropping client 57 because of ping timeout 19 0 0
2020-12-28 20:24:32.762036|INFO    |PktHandler    |1  |Dropping client 61 because of ping timeout 19 0 0
2020-12-29 16:40:32.456971|INFO    |PktHandler    |1  |Dropping client 60 because of ping timeout 19 0 0
2020-12-30 17:15:20.014007|INFO    |PktHandler    |1  |Dropping client 70 because of ping timeout 19 0 0
2020-12-31 12:30:43.340425|INFO    |PktHandler    |1  |Dropping client 63 because of ping timeout 19 0 0
2020-12-31 14:48:27.734436|INFO    |PktHandler    |1  |Dropping client 81 because of ping timeout 19 0 0
2020-12-31 15:16:19.255564|INFO    |PktHandler    |1  |Dropping client 82 because of ping timeout 19 0 0
2020-12-31 19:25:26.956160|INFO    |PktHandler    |1  |Dropping client 85 because of ping timeout 19 0 0
2020-12-31 19:58:00.911452|INFO    |PktHandler    |1  |Dropping client 87 because of ping timeout 19 0 0
2021-01-01 09:48:39.277221|INFO    |PktHandler    |1  |Dropping client 92 because of ping timeout 19 0 0
2021-01-01 11:30:18.616336|INFO    |PktHandler    |1  |Dropping client 91 because of ping timeout 19 0 0
2021-01-01 15:09:53.515397|INFO    |PktHandler    |1  |Dropping client 93 because of ping timeout 19 0 0
2021-01-01 15:10:05.535649|INFO    |PktHandler    |1  |Dropping client 94 because of ping timeout 19 0 0
2021-01-01 15:14:51.966248|INFO    |PktHandler    |1  |Dropping client 96 because of ping timeout 19 0 0
