2021-02-01 17:29:25.086913|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2021-02-01 23:12:09.304463|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2021-02-01 23:13:30.426164|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2021-02-02 16:55:31.444744|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2021-02-02 17:10:04.779934|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2021-02-02 23:04:25.532739|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2021-02-03 12:53:19.769593|INFO    |PktHandler    |1  |Dropping client 16 because of ping timeout 19 0 0
2021-02-03 16:47:54.672676|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2021-02-03 19:00:18.914645|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2021-02-03 20:06:39.105824|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
2021-02-04 16:26:02.359411|INFO    |PktHandler    |1  |Dropping client 30 because of ping timeout 19 0 0
2021-02-05 08:51:47.963425|INFO    |PktHandler    |1  |Dropping client 36 because of ping timeout 19 0 0
2021-02-05 08:51:47.963673|INFO    |PktHandler    |1  |Dropping client 20 because of ping timeout 19 0 0
2021-02-05 11:44:39.312568|INFO    |PktHandler    |1  |Dropping client 38 because of ping timeout 19 0 0
2021-02-05 11:44:39.313398|INFO    |PktHandler    |1  |Dropping client 37 because of ping timeout 19 0 0
2021-02-05 16:27:42.670897|INFO    |PktHandler    |1  |Dropping client 42 because of ping timeout 19 0 0
2021-02-05 16:56:07.452373|INFO    |PktHandler    |1  |Dropping client 45 because of ping timeout 19 0 0
2021-02-05 18:04:15.165371|INFO    |PktHandler    |1  |Dropping client 46 because of ping timeout 19 0 0
