2022-01-22 19:50:10.744590|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-01-22 19:50:10.744734|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-96-generic #109-Ubuntu SMP Wed Jan 12 16:49:16 UTC 2022 x86_64 Binary: 64bit
2022-01-22 19:50:10.744778|INFO    |ServerLibPriv |   |Using hardware aes
2022-01-22 19:50:10.747373|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-01-22 19:50:10.747450|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-01-22 19:50:10.749509|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-01-22 19:50:10.936928|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-01-22 19:50:10.966612|INFO    |Accounting    |   |Licensing Information
2022-01-22 19:50:10.966675|INFO    |Accounting    |   |licensed to       : Anonymous
2022-01-22 19:50:10.966723|INFO    |Accounting    |   |type              : No License
2022-01-22 19:50:10.966768|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-01-22 19:50:10.966794|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-01-22 19:50:10.966814|INFO    |Accounting    |   |max virtualservers: 1
2022-01-22 19:50:10.966834|INFO    |Accounting    |   |max slots         : 32
2022-01-22 19:50:13.972267|INFO    |              |   |Puzzle precompute time: 2926
2022-01-22 19:50:13.975607|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-01-22 19:50:14.039178|INFO    |Query         |   |Using a query thread pool size of 2
2022-01-22 19:50:14.128393|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-01-22 19:50:14.128861|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-01-22 19:50:19.055477|INFO    |ServerLibPriv |   |failed to download revocation list - count: 1
2022-01-22 21:27:59.531951|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-23 21:27:59.755954|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-24 21:28:00.000324|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-25 21:28:00.222235|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-26 21:28:00.506806|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-27 21:28:00.749933|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-28 21:28:00.952767|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-29 21:28:01.176053|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-30 21:28:01.478787|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-01-31 21:28:01.698020|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-01 00:02:10.921338|INFO    |VirtualSvrMgr |   |executing monthly interval
2022-02-01 00:02:10.923250|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2022-02-01 21:28:01.978256|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-02 21:28:02.177761|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-03 21:28:02.511865|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-04 21:28:02.637870|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-05 21:28:02.881868|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-06 21:28:03.108348|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-07 21:28:03.351352|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-08 21:28:03.695431|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-09 21:28:03.842596|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-10 21:28:04.060099|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-11 21:28:04.318053|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-12 21:28:04.796572|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-13 21:28:05.015286|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-14 21:28:05.267758|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-15 21:28:05.580555|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-16 21:28:05.914129|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-17 21:28:06.165387|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-18 21:28:06.343525|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-19 21:28:06.687743|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-20 21:28:06.980543|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-02-21 21:28:07.201616|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
